Speed (ft/s),Motor Command (ul)
0,0
0.396,0.1
1.036,0.2
1.615,0.3
2.195,0.4
2.743,0.5
3.322,0.6
3.871,0.7
4.420,0.8
4.938,0.9
5.425,1
5.425,1
